,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,,,,,Average sum (7 months),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,м²,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,305,,,,,,,,,,,,,,,,,м2,305,630,487,273,296,118,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,38,25,24,15,16,16,14,15,14,,,,19,,,,Average sum (7 months),€168.09,€194.10,€590.98,€94.69,€78.97,€56.86,€37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In money,,€196,€129,€123,€80,€83,€79,€65,€72,€72,€86,,,€98,85,€82,,Per m²,€0.55,€0.31,€1.21,€0.35,€0.27,€0.48,€0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,€0.64,€0.42,€0.40,€0.26,€0.27,€0.26,€0.21,€0.24,€0.23,€0.28,,,€0.32,,€0.27,,,,,,,,,,,Handheld vacuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,630,,,,,,,,,,,,,,,,,,,,,,,,,,Curtain steamer / iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,18,19,13,16,19,17,13,14,14,,,,16,,,,,,,,,,,,,Steam cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In money,,€88,€95,€67,€80,€94,€87,€65,€69,€71,€84,,,€80,85,€77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,€0.14,€0.15,€0.11,€0.13,€0.15,€0.14,€0.10,€0.11,€0.11,€0.13,,,€0.13,,€0.12,,Target April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prague,487,,,,,,,,,,,,,,,,,Per m²,€0.33,€0.13,€0.48,€0.28,€0.25,€0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,31,80,98,71,45,49,43,34,34,,,,54,,,,In money,€102,€81,€233,€77,€73,€28.00,€27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In money,,€176,€452,€557,€404,€253,€279,€245,€196,€195,€193,,,€295,180,€290,,Cleaning hours,19.5,16.1,41,14,13,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,€0.36,€0.93,€1.14,€0.83,€0.52,€0.57,€0.50,€0.40,€0.40,€0.40,,,€0.61,,€0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaltskaya,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,21,16,26,22,19,16,33,16,12,,,,20,,,,Target for May,,,,,,,,,June,,,,,,,,,July,,,,,,,,,August ,,,,,,,,,,September,,,,,,,,,,October,,,,,,,na,22.10
In money,,€118,€87,€145,€121,€105,€86,€173,€81,€81,€93,,,€109,75,€111,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,Anmut,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,Anmut,,,ML,FL,Prague,Yaltskaya,Masaryka,Riga,Tallinn,Anmut
Per m² (Average),,€0.43,€0.32,€0.53,€0.44,€0.39,€0.32,€0.64,€0.30,€0.30,€0.34,,,€0.40,,€0.41,,In money,€101,€101,€243,€81,€76,€28,€27,,In money,€90,€90,€180,€84,€75,€20,€20,,In money,€91,€95,€187,€87,€77,€20,€20,,In money,€91,€95,€198,€87,€77,€20,€20,€95,,In money,€78,€93,€193,€85,€75,€20,€25,€84,,In money,€88,€97,€191,€89,€79,€20,€25,€87
Masaryka,296,,,,,,,,,,,,,,,,,Cleaning hours,20,20,50,19,14,5.5,4.5,,Cleaning hours,,,,,,,,,Cleaning hours,,,,,,,,,Cleaning hours,,,,,,,,,,Cleaning hours,,,,,,,,,,Cleaning hours,,,,,,,,
Cleaning hours,,17,11,13,14,14,14,17,14,13,,,,14,,,,fakt,,,,,,,,,fakt,,,,,,,,,fakt,,,,,,,,,fakt,,,,,,,,,,fakt,,,,,,,,,,fakt,,,,,,,,
In money,,€94,€64,€73,€80,€80,€78,€90,€79,€75,€79,,,€79,75,€79,,In money,€83,€94,€253,€105,€80,€25,€16,,In money,€79,€87,€279,€86,€78,€20,€16,,In money,€65,€65,€245,€173,€90,€20,€20,,In money,€72,€69,€196,€81,€79,€20,€20,€68,,In money,€72,€71,€195,€81,€75,€13,€24,€67,,In money,€86,€84,€193,€93,€79,€8,€18,€77
Per m² (Average),,€0.32,€0.22,€0.25,€0.27,€0.27,€0.26,€0.30,€0.27,€0.25,€0.27,,,€0.27,,€0.27,,Cleaning hours,15.5,18.75,45.05,19.48,14.41,5.00,2.67,,Cleaning hours,15.9,17.3,49.28,16.01,14.01,3.94,2.66,,Cleaning hours,13.5,13,43.27,32.77,16.99,4.08,3.41,,Cleaning hours,14.86,14,34.09,15.67,14.34,3.91,3.41,12.13,,Cleaning hours,14.05,14,33.78,12.47,13.17,2.50,4,11.9,,Cleaning hours,15.5,16.5,33.15,16.86,13.9,1.67,3,13.85
Riga,118,,,,,,,,,,,,,,,,,Every week,€25,€25,€61,€20,€19,€7.0,€6.8,,Every week,€68,€68,€135,€63,€56,€15.0,€15.0,,Every week,€23,€24,€47,€22,€19,€5.0,€5.0,,Every week,€23,€24,€49,€22,€19,€5.0,€5.0,€23.7,,Every week,€19,€23,€64,€28,€25,€6.7,€8.3,€28.1,,Every week,€22,€24,€48,€22,€20,€5.0,€6.3,€21.8
Cleaning hours,,,,5.5,5.5,5,4,4.08,1.83,2.50,,,,4.05,20,,,,€0.27,€0.15,€0.52,€0.39,€0.27,€0.21,€0.11,,,€0.26,€0.14,€0.57,€0.32,€0.26,€0.17,€0.11,,,€0.21,€0.10,€0.50,€0.64,€0.30,€0.17,€0.14,,,€69,€71,€148,€66,€58,€15,€15,€71,,,,,,,,,,,,,€62,€68,€136,€63,€56,€14,€18,€62
In money,,,,€28,€28,€25,€20,€20,€9,€13,€8,,,,,€19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,#DIV/0!,#DIV/0!,€0.23,€0.23,€0.21,€0.17,€0.17,€0.08,€0.11,€0.07,,,#DIV/0!,,€0.16,,Target for May,€0.34,€0.16,€0.58,€0.35,€0.25,€0.23,€0.18,,Target for May,€0.30,€0.14,€0.37,€0.31,€0.25,€0.17,€0.14,,Target for May,€0.30,€0.15,€0.38,€0.32,€0.26,€0.17,€0.14,,Target for May,€0.30,€0.15,€0.41,€0.32,€0.26,€0.17,€0.14,,,Target for May,€0.25,€0.15,€0.40,€0.31,€0.25,€0.17,€0.18,,,Target for May,€0.29,€0.15,€0.39,€0.32,€0.27,€0.17,€0.18,
Tallinn,142,,,,,,,,,,,,,,,,,Global Goal,€0.40,€0.28,€0.40,€0.28,€0.23,€0.23,€0.20,,Global Goal,€0.40,€0.28,€0.40,€0.28,€0.23,€0.23,€0.20,,Global Goal,€0.40,€0.28,€0.40,€0.28,€0.23,€0.23,€0.20,,Global Goal,€0.40,€0.28,€0.40,€0.28,€0.23,€0.23,€0.20,,,Global Goal,€0.40,€0.28,€0.40,€0.28,€0.23,€0.23,€0.20,,,Global Goal,€0.40,€0.28,€0.40,€0.28,€0.23,€0.23,€0.20,
Cleaning hours,,,,4.8,4.5,2.7,2.7,3.41,1.25,4,,,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In money,,,,€27,€26,€16,€16,€20,€8,€24,€18,,,,20,€19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,€0.00,€0.00,€0.19,€0.18,€0.11,€0.11,€0.14,€0.06,€0.17,€0.13,,,€0.11,,€0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anmut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning hours,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In money,,,,,,,,,€68,€67,€77,,,,,€71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per m² (Average),,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,