,,,,,,,,,,,,,,,,,,
,7.2024,8.2024,9.2024,10.2024,11.2024,12.2024,1.2025,  Average,Sum,,,,,,,,,
ML,,,,,,,,,,,,,ML,FL,Prague ,YALTA,Masaryk,Tallin
Chemicals without VAT,€69.20,€7.40,€63.52,€12.80,€49.24,€0.00,€0.00,€28.88,€202.16,,,Chemistry,€0.06,€0.19,€0.17,€0.09,€0.20,€0.05
Washing powder,"1,508Kč",0Kč,"1,508Kč",0Kč,"1,073Kč",0Kč,0Kč,,,,,,,,,,,
Stain removers,222Kč,185Kč,80Kč,320Kč,158Kč,0Kč,0Kč,,,,,,,,,,,
Number of sets,734,676,371,479,302,500,414,497,3476,,,KU,€1.19,€1.05,€2.03,€1.04,€2.21,€1.19
Chemistry 1 set,,,,,,,,,€0.06,,,Total,€2.05,€2.66,€4.07,€2.43,€3.77,€2.24
KU,,,,,,,,,€1.19,,,,,,,,,
,on average per month,,,,,,,,,,,,,,,,,
Water consumption per wash cycle: 45 l,Number of washes,,90,4050,476Kč,€19,,,,,,,,,,,,
Power consumption per wash cycle: 4.8 kWh,Number of washes,,90,432,"2,765Kč",€111,,,,,,,,,,,,
Power consumption per drying cycle: 5.2 kWh,Number of dryers,,210,1092,"6,989Kč",€280,,,,,,,,,,,,
Ironing roller consumption per hour: 13.68 kWh,Number of hours,,52,711,"4,553Kč",€182,,,,,,,,,,,,
,,,,,,€591,,,,,,,,,,,,
Work,,,,,,,,,€0.80,,,,,,,,,
For just 1 set,,,,,,,,,€2.05,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,
Chemicals without VAT,€60.32,€136.40,€149.36,€60.32,€21.92,€44.16,€22.00,€70.64,€494.48,,,,,,,,,
Washing powder,"1,508Kč","3,016Kč","3,316Kč","1,508Kč",0Kč,893Kč,0Kč,,,,,,,,,,,
Stain removers,0Kč,394Kč,418Kč,0Kč,548Kč,211Kč,550Kč,,,,,,,,,,,
Number of sets,478,474,315,442,280,318,333,377,2640,,,,,,,,,
Chemistry 1 set,,,,,,,,,€0.19,,,,,,,,,
KU,,,,,,,,,€1.05,,,,,,,,,
,on average per month,,,,,,,,,,,,,,,,,
Water consumption per wash cycle: 45 l,Number of washes,,60,2700,317Kč,€13,,,,,,,,,,,,
Power consumption per wash cycle: 4.8 kWh,Number of washes,,60,432,"2,592Kč",€104,,,,,,,,,,,,
Power consumption per drying cycle: 5.2 kWh,Number of dryers,,80,416,"2,496Kč",€100,,,,,,,,,,,,
Ironing roller consumption per hour: 13.68 kWh,Number of hours,,55,752,"4,514Kč",€181,,,,,,,,,,,,
,,,,,,€397,,,,,,,,,,,,
Work,,,,,,,,,€1.42,,,,,,,,,
For just 1 set,,,,,,,,,€2.66,,,,,,,,,
Prague ,,,,,,,,,,,,,,,,,,
Chemicals without VAT,€151.48,€145.80,€90.28,€137.60,€78.16,€143.80,€72.48,€117.09,€819.60,,,,,,,,,
Washing powder,"3,016Kč","3,016Kč","1,628Kč","3,136Kč",1650,"3,301Kč","1,508Kč",,,,,,,,,,,
Stain removers,771,629,629,304,304,294,304,,,,,,,,,,,
Number of sets,794,867,682,701,608,772,509,705,4933,,,,,,,,,
Chemistry 1 set,,,,,,,,,€0.17,,,,,,,,,
KU,,,,,,,,,€2.03,,,,,,,,,
,on average per month,,,,,,,,,,,,,,,,,
Water consumption per wash cycle: 45 l,Number of washes,,300,13500,"1,850Kč",€74,,,,,,,,,,,,
Power consumption per wash cycle: 4.8 kWh,Number of washes,,300,432,"2,635Kč",€105,,,,,,,,,,,,
Power consumption per drying cycle: 5.2 kWh,Number of dryers,,510,2652,"16,177Kč",€647,,,,,,,,,,,,
Ironing roller consumption per hour: 13.68 kWh,Number of hours,,180,2462,"15,021Kč",€601,,,,,,,,,,,,
,,,,,,"€1,427",,,,,,,,,,,,
Work,,,,,,,,,€1.88,,,,,,,,,
For just 1 set,,,,,,,,,€4.07,,,,,,,,,
YALTA,,,,,,,,,,,,,,,,,,
Chemicals without VAT,€5.00,€65.12,€65.12,€74.84,€80.84,€64.32,€0.00,€50.75,€355.24,,,,,,,,,
Washing powder,0Kč,"1,628Kč","1,628Kč","1,508Kč","1,508Kč","1,508Kč",0Kč,,,,,,,,,,,
Stain removers,125Kč,0Kč,0Kč,363Kč,513Kč,100Kč,0Kč,,,,,,,,,,,
Number of sets,668,723,486,525,399,547,476,546,3824,,,,,,,,,
Chemistry 1 set,,,,,,,,,€0.09,,,,,,,,,
KU,,,,,,,,,€1.04,,,,,,,,,
,on average per month,,,,,,,,,,,,,,,,,
Water consumption per wash cycle: 45 l,Number of washes,,120,5400,491Kč,€20,,,,,,,,,,,,
Power consumption per wash cycle: 4.8 kWh,Number of washes,,120,432,"2,592Kč",€104,,,,,,,,,,,,
Power consumption per drying cycle: 5.2 kWh,Number of dryers,,120,624,"3,744Kč",€150,,,,,,,,,,,,
Ironing roller consumption per hour: 13.68 kWh,Number of hours,,90,1231,"7,387Kč",€295,,,,,,,,,,,,
,,,,,,€569,,,,,,,,,,,,
Work,,,,,,,,,€1.29,,,,,,,,,
For just 1 set,,,,,,,,,€2.43,,,,,,,,,
Masaryk,,,,,,,,,,,,,,,,,,
Chemicals without VAT,€0.00,€120.64,€60.32,€60.32,€0.00,€0.00,€60.32,€43.09,€301.60,,,,,,,,,
Washing powder,0Kč,"3,016Kč","1,508Kč","1,508Kč",0Kč,0Kč,"1,508Kč",,,,,,,,,,,
Stain removers,0Kč,0Kč,0Kč,0Kč,0Kč,0Kč,0Kč,,,,,,,,,,,
Number of sets,251,262,175,210,158,273,211,220,1540,,,,,,,,,
Chemistry 1 set,,,,,,,,,€0.20,,,,,,,,,
KU,,,,,,,,,€2.21,,,,,,,,,
,on average per month,,,,,,,,,,,,,,,,,
Water consumption per wash cycle: 45 l,Number of washes,,150,6750,614Kč,€25,,,,,,,,,,,,
Power consumption per wash cycle: 4.8 kWh,Number of washes,,150,432,"2,808Kč",€112,,,,,,,,,,,,
Power consumption per drying cycle: 5.2 kWh,Number of dryers,,150,780,"5,070Kč",€203,,,,,,,,,,,,
Ironing roller consumption per hour: 13.68 kWh,Number of hours,,41,561,"3,646Kč",€146,,,,,,,,,,,,
,,,,,,€486,,,,,,,,,,,,
Work,,,,,,,,,€1.37,,,,,,,,,
For just 1 set,,,,,,,,,€3.77,,,,,,,,,
Рига,,,,,,,,,,,,,,,,,,
Chemicals without VAT,,,,,,,,,,,,,,,,,,
Washing powder,,,,,,,,,,,,,,,,,,
Stain removers,,,,,,,,,,,,,,,,,,
Number of sets,692,674,574,457,358,562,510,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Таллинн,,,,,,,,,,,,,,,,,,
Chemicals without VAT,€0.00,€0.00,€34.67,€34.67,€34.67,€1.52,€34.67,€20.03,€140.20,,,,,,,,,
Washing powder,,,€34.67,€34.67,€34.67,,€34.67,,,,,,,,,,,
Stain removers,,,,,,€1.52,,,,,,,,,,,,
Number of sets,599,439,406,469,299,349,430,427,2991,,,,,,,,,
Chemistry for 1 set,,,,,,,,,€0.05,,,,,,,,,
KU,,,,,,,,,€1.19,,,,,,,,,
,в среднем за месяц,,,,,,,,,,,,,,,,,
Water consumption per wash cycle: 45 l,К-во стирок,,195,8775,€30,,,,,,,,,,,,,
Power consumption per wash cycle: 4.8 kWh,К-во стирок,,195,432,€86,,,,,,,,,,,,,
Power consumption per drying cycle: 5.2 kWh,К-во сушек,,165,858,€172,,,,,,,,,,,,,
Ironing roller consumption per hour: 13.68 kWh,К-во часов ,,80,1094,€219,,,,,,,,,,,,,
,,,,,€507,,,,,,,,,,,,,
Work,,,,,,,,,€1.01,,,,,,,,,
For just 1 set,,,,,,,,,€2.24,,,,,,,,,