,,,,,,,,,,,,,,
,Total for April,,Total for May,,Total for June,,Total for Jule,,Total for August,,Total for September,,Total for October,
,kg,K-in comp.,kg,K-in comp.,kg,K-in comp.,kg,K-in comp.,kg,K-in comp.,kg,K-in comp.,kg,K-in comp.
ML,985,434,694,377,820,305,"1,047",464,"1,117",512,"1,678",286,808,400
FL,853,359,834,318,846,311,637,283,952,403,"2,329",320,"1,039",391
YALTA ,787,441,914,431,845,342,"1,266",571,"1,343",529,"2,296",382,"1,010",522
Masaryk,865,245,825,258,903,252,780,297,"1,128",317,"1,745",188,803,268
Anmut ,,,,,,,,,"1,305",494,"1,812",277,777,369
,"3,490","1,479","3,267","1,384",3414.51,1210,"3,729","1,615","5,845","2,255","9,860","1,453","4,436","1,950"
,,,,,,,,,,,,,,
Praga,2035,686,2045,795,2266,795,"2,227",814,"2,347",833,"5,523",669,"1,752",595
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,average,KG,,,,,,,,,,,,
,Praga,2599,,,,,,,,,,,,
,ML,"1,021",,,,,,,,,,,,
,FL,1070,,,,,,,,,,,,
,YALTA ,1209,,,,,,,,,,,,
,Masaryk,1007,,,,,,,,,,,,
,Anmut ,1298,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"5,605",without Prague,,,,,,,,,,,
,,,,,,,,,,,,,,
,,6300,kogda anmut zajdjot,,,,,,,,,,,