,Total for March,,,,Total for April,,,, Май (1.05-8.05),,, Май (9.05-15.05),,, Май (16.05-22.05),,, Май (23.05-29.05),,,,Total for May,,,,,,Июнь (1.06-7.06),,,Июнь (8.06-14.06),,,Июнь (15.06-21.06),,,Июнь (22.06-28.06),,,Итого за Июнь,,,,,Total for June,,,,Total for July,,,,Total for August,,,,Total for September,,,,Total for October,,,,,,,,,,,,
,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,,kg,per kg,Qty sets,Per set,"Цель 
на май","Глобальная 
цель",за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,За комп,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,,,,,,,,Target for June,Global Goal
ML,753,€0.45,305,€1.11,985,€0.45,434,€1.01,€0.43,130,€0.75,€0.42,128,€0.68,€0.43,90,€0.52,€0.42,110,€0.57,€0.63,694,€0.42,377,€0.77,€0.75,€0.70,€0.38,117,€0.65,€0.42,109,€0.64,,,,,,,,,109,€0.40,€0.65,820,€0.39,305,€1.05,"1,047",€0.32,464,€0.72,"1,117",€0.32,512,€0.69,"1,678",€0.40,286,€0.86,808,€0.40,400,€0.80,,,,,,,,€0.90,€0.70
FL,386,€0.44,164,€1.04,853,€0.39,359,€0.93,€0.29,103,€0.49,€0.38,102,€0.83,€0.47,102,€0.91,€0.48,94,€0.98,€0.80,834,€0.42,318,€1.10,€0.75,€0.70,€0.58,78,€1.09,€0.34,90,€1.00,,,,,,,,,90,€0.46,€1.05,846,€0.40,311,€1.10,637,€0.35,283,€0.79,952,€0.56,403,€1.33,"2,329",€0.52,320,€1.45,"1,039",€0.42,391,€1.11,,,,,,,,€0.90,€0.70
Praga,1642,€0.66,686,€1.58,2035,€0.62,686,€1.85,€0.61,260,€1.20,€0.54,211,€1.04,€0.50,252,€1.08,€0.48,252,€0.95,€1.07,2045,€0.53,795,€1.38,€1.10,€0.70,€0.50,258,€1.03,€0.57,289,€1.07,,,,,,,,,289,€0.54,€1.05,2266,€0.47,795,€1.34,"2,227",€0.44,814,€1.21,"2,347",€0.47,833,€1.33,"5,523",€0.40,669,€1.21,"1,752",€0.41,595,€1.22,,,,,,,,€1.25,€0.70
ЯЛТСКАЯ ,970,€0.75,441,€1.65,787,€0.79,441,€1.41,€0.71,145,€1.28,€0.85,100,€1.40,€0.54,120,€1.12,€0.38,104,€0.72,€1.13,914,€0.60,431,€1.27,€1.10,€0.70,€0.47,119,€0.66,€0.40,106,€0.86,,,,,,,,,106,€0.43,€0.76,845,€0.39,342,€0.96,"1,266",€0.42,571,€0.93,"1,343",€0.41,529,€1.05,"2,296",€0.40,382,€0.95,"1,010",€0.47,522,€0.90,,,,,,,,€1.27,€0.70
Масарика,769,€0.41,245,€1.29,865,€0.44,245,€1.55,€0.47,84,€1.24,€0.61,59,€1.50,€0.42,61,€1.31,€0.37,97,€0.79,€1.21,825,€0.45,258,€1.43,€1.00,€0.70,€0.38,85,€0.95,€0.37,83,€0.92,,,,,,,,,83,€0.38,€0.94,903,€0.37,252,€1.31,780,€0.44,297,€1.14,"1,128",€0.38,317,€1.35,"1,745",€0.33,188,€1.21,803,€0.38,268,€1.15,,,,,,,,€1.27,€0.70
Таллинн ,1295,€0.33,416,€1.02,1131,€0.32,400,€0.91,€0.39,130,€1.03,€0.43,82,€1.24,€0.35,92,€0.98,€0.35,101,€0.90,€1.04,1193,€0.37,351,€1.27,€0.75,€0.70,€0.31,127,€0.73,€0.38,98,€1.00,,,,,,,,,98,€0.34,€0.87,1320,€0.37,434,€1.12,"1,770",€0.31,551,€0.98,"1,576",€0.33,477,€1.08,"2,188",€0.33,330,€1.07,"1,267",€0.31,394,€1.01,,,,,,,,€1.00,€0.70
Рига,537.20,€1.30,254,€2.75,443,€1.30,221,€2.61,€1.30,78,€2.72,€1.30,60,€1.82,€1.30,67,€2.23,€1.30,65,€1.98,€2.19,516,€1.30,244,€2.75,€2.60,€2.50,€1.30,69,€1.74,€1.30,56,€2.64,,,,,,,,,56,€1.30,€2.19,521,€1.30,271,€2.50,553,€1.38,349,€2.19,576,€1.38,315,€2.53,"1,162",€1.38,211,€3.24,477,€1.42,248,€2.73,,,,,,,,€2.80,€2.50
Anmut ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,305",€0.37,494,€0.98,"1,812",€0.50,277,€1.31,777,€0.48,369,€1.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68852459,389,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"katok - tablichka, obzor po nastrojkam",,,,,,,,,,,,,,,,,,,2.721672026,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,video urok pro katka ,,,,,,,,,,,,,,,,,,,2.850113208,781,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.471637427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,"sostajanije, srok sluzhbi",,,,,,,,,,,,,,,,,,,3.582420635,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,temperatura,,,,,,,,,,,,,,,,,,,3.042281106,582,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,skorostj katka,,,,,,,,,,,,,,,,,,,1.922509225,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,skoljko raz propuskajem cherez katok (po edenicam belja),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,- ,,,,,sostojanije belja v nachalje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kg avg.,,Avg. sets,,,,,,,,,,,,,-,,,,,vlazhnostj pomeshenije (izmeritj),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 kg = h,,1 kg,,,,,,,,,
,,,,,ML,€0.39,,€0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FL,€0.44,,€1.10,,,,,,,,,,,,,,,,,,tehnika glazhke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anmut,8.54,,,,,,,,,,
,,,,,Praga,€0.50,,€1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The month is closing, laundry cannot be processed in another month — we need to close the month!",,,,,,,,,,,,,,,,,Tallin,6.30,,,,,,,,,,
,,,,,ЯЛТСКАЯ ,€0.53,,€1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ML ,7.9,,,,,,,,,,
,,,,,Масарика,€0.40,,€1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,8.35,,,,,,,,,,
,,,,,Таллинн ,€0.33,,€1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga,7.04,,,,,,,,,,
,,,,,Рига,€1.35,,€2.66,,,,,,,,,,,,,,,,,,shochiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaltskaja,8.38,,,,,,,,,,
,,,,,Anmut ,€0.45,,€1.10,,,,,,,,,,,,,,,,,,reguljator na poroshok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masarika,6.67,,,,,,,,,,