,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comparison of cleaning speed per facility based on average apartment square footage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,
,м²,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,10,,11,12,,Март,Апрель,,,,,,October,,
ML,768.2,,,,,,,,,,,,,,,,,,,,,,,,,,"bez 
korp","grjaz/
korp",,,,"Цель 
на месяц","Цель 
на месяц","Цель 
на Май","Цель 
на Июнь",Target  for July,Target for August,Target for September,clean,dirtier,"Глобальная 
цель"
Avg. cleaning speed,,84,78,72,74,73,73,77,77,77,78,75,74,76,,,77,68,67,66,60,64,67,66,61,59,,,,,66,60,60,60,59,57,57,57,57,68,57
Per m² (Avg. apt. size),24.78,3.39,3.15,2.91,2.99,2.95,2.95,3.11,3.11,3.11,3.15,3.03,2.99,3.07,,,3.11,2.74,2.70,2.66,2.42,2.58,2.70,2.66,2.46,2.38,,,,,2.64,,,,,,,,,,
FL,292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. cleaning speed,,69,71,76,81,79,77,77,76,78,77,77,77,76,,,78,70,56,55,54,54,58,60,56,57,,,,,60,65,55,55,54,54,54,54,54,,55
Per m² (Avg. apt. size),20.89,3.30,3.40,3.64,3.88,3.78,3.69,3.69,3.64,3.73,3.69,3.69,3.69,3.65,,,3.73,3.35,2.68,2.63,2.58,2.58,2.78,2.87,2.68,2.73,,,,,2.86,,,,,,,,,,
Прага ,605.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. cleaning speed,,74,66,75,67,66,66,67,65,63,74,70,67,68,,,67,62,54,60,58,56,63,60,57,61,,,60,,60,62,52,52,54,54,54,54,54,,50
Per m² (Avg. apt. size),19.52,3.79,3.38,3.84,3.43,3.38,3.38,3.43,3.33,3.23,3.79,3.59,3.43,3.50,,,3.43,3.18,2.77,3.07,2.97,2.87,3.23,3.07,2.92,3.13,,,,,3.06,,,,,,,,,,
ЯЛТСКАЯ,432.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. cleaning speed,,75,74,73,74,72,72,71,73,65,71,69,72,72,,,74,74,69,64,65,68,73,76,71,71,,,,,71,63,63,62,62,63,63,65,65,120,59
Per m² (Avg. apt. size),24.05,3.12,3.08,3.04,3.08,2.99,2.99,2.95,3.04,2.70,2.95,2.87,2.99,2.98,,,3.08,3.08,2.87,2.66,2.70,2.83,3.04,3.16,2.95,,,,,,2.93,,,,,,,,,,
Масарика,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. cleaning speed,,105,107,103,101,109,111,108,112,115,114,116,115,110,,,117,109,81,67,69,66,71,68,67,72,,,,,79,75,75,65,65,65,65,66,66,96,62
Per m² (Avg. apt. size),43.25,2.43,2.47,2.38,2.34,2.52,2.57,2.50,2.59,2.66,2.64,2.68,2.66,2.54,,,2.71,2.52,1.87,1.55,1.60,1.53,1.64,1.57,1.55,1.66,,,,,1.82,,,,,,,,,,
ANMUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. cleaning speed,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,51,65,57,61,,,,,59,75,75,65,0,63,59,62,60,,
Per m² (Avg. apt. size),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,0.00,,,,,,,,,,
Рига,328.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. cleaning speed,,,,,,,,,,,,,,62,,,62,66,61,54,55,54,55,54,54,57,,,,,57,60,60,55,54,55,55,55,55,,60
Per m² (Avg. apt. size),46.94,,,,,,,,,,,,,1.32,,,1.32,1.41,1.30,1.15,1.17,1.15,1.17,1.15,1.15,,,,,,1.22,,,,,,,,,,
Таллинн,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. cleaning speed,,,,,,,,,,,,,,60,,,62,62,65,65,64,63,71,67,63,62,,,,,64,60,62,62,62,62,63,62,62,,60
Per m² (Avg. apt. size),33.08,,,,,,,,,,,,,1.81,,,1.87,1.87,1.96,1.96,1.93,1.90,2.15,2.03,1.90,,,,,,1.95,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,statistika po hskp - skoljka norma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,razmeshenije belja?? po korpusam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Сравнение скорость на квадратный метр по категориям,,,,,,,,,,,,,stoimostj za apartament,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,balkoni + kvadratura,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,
,м²,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,,10,,11,12,,,,,,,,,,,
МЛ,,,,,,,,,,,,,,Сред.скор,"скорость
 на м²",,,,,,,,,,,,,,,,Сред.скор,скорость на м²,,,,,,,,,
"Standard Studio
No1",17,73,69,,,,,,,,,55,64,65,3.84,,67,53,,,,,,,,,,,,,60,3.53,,,,,,,,,
"One bedroom
No3",24.8,108,102,,120,,,,,,,,105,109,4.39,,82,80,,,,,,,,,,,,,81,3.27,,,,,,,,,
"Standard Triple Studio
No9",19.1,76,63,61,64,68,55,62,,64,,,60,64,3.33,,70,50,,,,,,,,,,,,,60,3.14,,,,,,,,,
"Superior Studio Modern
No12",26.2,96,93,84,78,73,74,76,79,86,85,83,75,82,3.12,,78,83,,,,,,,,,,,,,81,3.07,,,,,,,,,
"Classic
No6",25,63,81,72,71,80,72,73,75,77,79,71,74,74,2.96,,74,75,,,,,,,,,,,,,75,2.98,,,,,,,,,
"Duplex studio
No20",14.8,81,82,84,88,95,85,84,87,90,91,85,84,86,5.83,,90,70,,,,,,,,,,,,,80,5.41,,,,,,,,,
"Family Studio
No19",25.5,125,109,99,95,92,99,94,94,103,92,96,96,100,3.90,,96,100,,,,,,,,,,,,,98,3.84,,,,,,,,,
"Studio
No22",17.4,58,58,60,61,62,64,63,59,64,61,59,60,61,3.49,,63,59,,,,,,,,,,,,,61,3.51,,,,,,,,,
"Deluxe studio
No24",38.8,115,82,68,84,77,90,89,89,78,89,90,80,86,2.21,,86,82,,,,,,,,,,,,,84,2.16,,,,,,,,,
"Single Studio 
No23",15,59,63,68,63,59,58,71,64,68,,,56,63,4.19,,68,50,,,,,,,,,,,,,59,3.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ФЛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Modern
No1",23.3,77,63,73,85,79,80,76,82,78,77,75,80,77,3.31,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,
"Classiс
No4",22,67,67,79,79,80,72,76,75,76,78,75,78,75,3.42,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,
"Bohemian
No5",28,77,82,76,79,81,77,82,76,79,77,74,80,78,2.80,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,
"Vogue for 3
No6",22,71,72,80,77,75,78,73,77,77,79,75,77,76,3.45,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,
"Modern for 2
No7
",19,65,64,74,77,81,72,79,74,75,77,79,71,74,3.89,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,
"Vogue
No8",17.8,64,68,71,83,80,78,72,75,76,80,79,76,75,4.22,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Прага ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard Studio
No11
",19.9,63,66,65,59,56,57,61,57,56,60,59,60,60,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studio
No31",17.4,66,71,74,63,59,63,61,57,68,58,61,70,64,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOD 2
No1",18.8,64,65,69,67,59,55,55,62,58,61,62,57,61,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
"Modern Studio for 3
No29",21.2,73,30,85,72,77,69,69,70,58,81,85,74,70,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duplex Studio
No15",19.6,66,70,92,66,68,68,68,66,64,67,79,69,70,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,
"Superior Studio
No6",20.2,62,59,78,71,70,73,65,69,55,66,132,74,73,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЯЛТСКАЯ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Superior Studio
No 17",28.5,74,72,78,66,70,73,78,79,64,66,60,66,71,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classic Duplex Studio
No 8",16.1,72,70,60,71,40,67,57,65,60,60,61,63,62,3.86,,,podshot chasov,,,,,,,,,,,,,,,,,,,,,,,
"Executive
No14",43.7,103,119,105,113,110,121,135,131,53,127,120,120,113,2.59,,,objom belja v odnoj stirki - zagruzilji stiralku,,,,,,,,,,,,,,,,,,,,,,,
"Superior Duplex
No7",24.5,100,67,68,87,79,78,75,76,60,69,75,64,75,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classic 
No15",19.1,58,69,60,56,60,63,55,59,60,55,60,60,60,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deluxe Duplex 2 
No 2",25.1,73,72,65,77,72,55,83,73,80,70,75,73,72,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deluxe
No4",28.9,73,61,79,63,68,78,64,68,45,66,70,60,66,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,
Масарика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pastel Suite
No3",53,114,113,103,88,121,124,112,111,120,119,125,117,114,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studio
No4",37,107,107,96,98,87,107,100,109,112,112,115,113,105,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attic Studio
No7",37,99,101,98,99,105,101,110,94,115,116,108,115,105,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,
Рига,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suite
No1",37.1,,,,,,,,,,,,,56,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delux Suite
No3",51.6,,,,,,,,,,,,,60,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attic
No5",80.4,,,,,,,,,,,,,108,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
Таллинн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mint
No11",37,,,,,,,,,,,,,60,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pastel
No12",31,,,,,,,,,,,,,60,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duplex
No6",30,,,,,,,,,,,,,58,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arctic
No4",34,,,,,,,,,,,,,53,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Объект,МЛ,ФЛ,Прага ,ЯЛ,,,,Мас,Рига,Тал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Standard Triple Studio
No9","Modern for 2
No7","MOD 2
No1","Classic 
No15",,,,"Studio
No4","Suite
No1","Mint
No11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,19.1,19,18.8,19.1,,,,37,37.1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,64,74,61,60,,,,105,56,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,3.33,3.89,3.25,3.12,,,,2.84,1.51,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Superior Studio
 Modern No12","Bohemian
No5",,"Deluxe
No4",,,,"Pastel Suite
No3","Delux Suite
No3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,26.2,28,,28.9,,,,53,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,82,78,,66,,,,114,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,3.12,2.80,,2.29,,,,2.15,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Duplex studio
No20",,"Duplex Studio
No15","Classic Duplex
 Studio No 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,14.8,,19.6,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,86,,70,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,5.83,,3.58,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Family Studio
No19",,,"Executive
No14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,25.5,,,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,100,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,3.90,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Classic
No6","Classiс
No4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,74,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,2.96,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,