Location,March,April,May,June,July,August,September,October,November,Metric,,,
ML,3645,4890,3147,3855,4167,4344,2832,3450,,Time (min.),,,
,305,434,377,305,464,512,286,400,,Sets,,for the whole period,the last 4 months
,12.0,11.3,8.3,12.6,9.0,8.5,9.9,8.6,,Min/set,,aver.,
,0.20,0.19,0.14,0.21,0.15,0.14,0.17,0.14,,For Salary Formula,,0.17,0.17
Praga,11571,13485.6,11590.2,11190.6,10444.2,11461.8,8457,7513,,Time (min.),,,
,686,686,795,795,814,833,669,595,,Sets,,,
,16.9,19.7,14.6,14.1,12.8,13.8,12.6,12.6,,Min/set,,,
,0.28,0.33,0.24,0.23,0.21,0.23,0.21,0.21,,For Salary Formula,,0.25,0.22
Anmut,0,0,0,0,999,5724,3886.2,3987,,Time (min.),,,
,0,0,0,0,600,494,277,369,,Sets,,,
,0.0,0.0,0.0,0.0,1.7,11.6,14.0,10.8,,Min/set,,,
,0.00,0.00,0.00,0.00,0.03,0.19,0.23,0.18,,For Salary Formula,,0.19,-
FL,2040,4080,4200,4080,2670,6480,5460,5250,,Time (min.),,,
,164,359,318,311,283,403,320,,,Sets,,,
,12.4,11.4,13.2,13.1,9.4,16.1,17.1,#DIV/0!,,Min/set,,,
,0.21,0.19,0.22,0.22,0.16,0.27,0.28,,,For Salary Formula,,0.21,0.23
Jaltskaja,7940,7022,6071,3563,5932,6272,3797.4,4919,,Time (min.),,,
,441,441,431,342,571,529,382,522,,Sets,,,
,18.0,15.9,14.1,10.4,10.4,11.9,9.9,9.4,,Min/set,,,
,0.30,0.27,0.23,0.17,0.17,0.20,0.17,0.16,,For Salary Formula,,0.22,0.18
Masarika,3387,4075.8,3957.6,3520.8,3753,4584.6,2465.4,3256.2,2884.8,Time (min.),,,
,245,245,258,252,297,317,188,268,238,Sets,,,
,13.8,16.6,15.3,14.0,12.6,14.5,13.1,12.2,12.1,Min/set,,,
,0.23,0.28,0.26,0.23,0.21,0.24,0.22,0.20,0.20,For Salary Formula,,0.24,0.22
Tallin,0,4138.8,5333.4,5859.6,6501,6190.2,4241.4,4770,,Time (min.),,,
,416,400,351,434,551,477,330,,,Sets,,,
,0.0,10.3,15.2,13.5,11.8,13.0,12.9,#DIV/0!,,Min/set,,,
,0.00,0.17,0.25,0.23,0.20,0.22,0.21,,,For Salary Formula,,0.21,0.21
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,ML,,,,,,,,
,,,,,FL,,,,,,,,
,,,,,Praga,,,,,,,,
,,,,,ЯЛТСКАЯ ,,,,,,,,
,,,,,Масарика,,,,,,,,
,,,,,Таллинн ,,,,,,,,
,,,,,Рига,,,,,,,,
,,,,,Anmut,,,,,,,,