,,,,,,,,,,,,,,,
Amount incl. VAT 01.03 - 14.08.2024,"65,088Kč",,,,,,,,,,,,,,
Amount for period ex. VAT,"58,115Kč",,"Revelton  
Expensed to P&L
Excl. VAT","35,080Kč",,,,,,,,,,,
Paid by advances,"60,000Kč",,"BL  
Expensed to P&L
Excl. VAT","37,480Kč",,,,,,,,,,,
Difference,"-5,088Kč",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Difference,"14,445Kč","6,934Kč",Revelton,,,,,,,,,
,,,,,"7,511Kč",BL,,,,,,,,,
,,,,,,,,,,,,,,,
,3.2024,4.2024,5.2024,6.2024,7.2024,Excl. VAT,Incl. VAT,,,,,,,,
,,,,,,"72,560Kč",,,,,,,,,
Expensed to P&L,"7,700Kč","5,960Kč","6,860Kč","7,280Kč","7,280Kč","35,080Kč","39,290Kč",,,,,,,,
,,,,,,,,,,,,,,,
BL in P&L,"6,380Kč","5,960Kč","6,860Kč","7,280Kč","11,000Kč","37,480Kč","41,978Kč",,,,,,,,
BL advances to us,"2,000Kč","2,000Kč","2,000Kč","2,000Kč","3,000Kč","11,000Kč","12,320Kč",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Excl. VAT,Incl. VAT,,,,,,,,
,,,,,,"27,896Kč","31,244Kč",Revelton,,,,,,,
Actually payable (recalculation for BL),,,,,,"30,219Kč","33,845Kč",БЛ,,,,,,,
Paid by advances,,,,,,"11,000Kč","12,320Kč",,,,,,,,
Balance due,,,,,,"19,219Kč","21,525Kč",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Amount incl. VAT 15.08.2024 - 18.02.2025,"69,373Kč",,"Revelton  
Expensed to P&L
Excl. VAT","31,540Kč",,,,,,,,15.8.2024 по 19.2.2025,,,
Amount for period ex. VAT,"61,941Kč",,"BL  
Expensed to P&L
Excl. VAT","29,363Kč",,,,,,,,,,,
,,,,,,,,,,,,,,,686
,8.2024,9.2024,10.2024,11.2024,12.2024,01.2025,02.2025,Excl. VAT,Incl. VAT,,,,,,
,,,,,,,,,,,,,,,
Expensed to P&L,"3,250Kč","4,700Kč","5,690Kč","3,845Kč","5,105Kč","6,000Kč","2,950Kč","31,540Kč","35,325Kč",,,,,,
,,,,,,,,,,,,,,,
BL in P&L,"3,430Kč","4,700Kč","5,690Kč","3,845Kč","5,105Kč","4,481Kč","2,113Kč","29,364Kč","32,887Kč",,,,,,
BL advances to us,"1,000Kč","2,000Kč","2,000Kč","2,000Kč","2,000Kč","2,000Kč","2,000Kč","13,000Kč","14,560Kč",,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Amount incl. VAT 19.02.2025 - 11.08.2025,"69,549Kč",,"Revelton  
Expensed to P&L
Excl. VAT","33,477Kč",,-313Kč,,,,,,,,,
Amount for period ex. VAT,"62,097Kč",,"BL  
Expensed to P&L
Excl. VAT","28,934Kč",,,,,,,,,,,
,,,,,,,,,,,,,,,
,2.2025,3.2025,4.2025,5.2025,6.2025,7.2025,8.2025,Excl. VAT,Incl. VAT,,,,,,
,,,,,,,,,,,,,,,
Expensed to P&L,"2,950Kč","6,843Kč","6,576Kč","4,529Kč","6,843Kč","5,953Kč","2,354Kč","33,477Kč","37,494Kč",,,,,,
,,,,,,,,,,,,,,,
BL in P&L,"2,113Kč","5,063Kč","5,330Kč","4,173Kč","5,330Kč","5,063Kč","1,864Kč","28,934Kč","32,406Kč",,,,,,
BL advances to us,"1,000Kč","2,000Kč","2,000Kč","2,000Kč","2,000Kč","2,000Kč","2,000Kč","13,000Kč","14,560Kč",,,,,,